#SampleID	chlamy_RA	sampling_day	pbr_tube	max_od_group	bact_RA	B_mean	C_mean	B_std	C_std	cc_mean_ratio	PBR_680	PBR_720
exp4.d15.t6	0.17335674862017098	15.0	6.0	0.2	0.826643251379829	29468382.12063889	611423.5608166667	3783468.238464812	79898.75388122686	48.19634703196347	0.34331999999999996	0.19818
exp4.d15.t7	0.146172729301495	15.0	7.0	0.2	0.8538272706985051	22698052.73716666	792896.307177778	1571146.20774429	12794.039950327831	28.62676056338027	0.37156	0.19679000000000002
exp4.d15.t8	0.28690807799442897	15.0	8.0	0.2	0.713091922005571	18314787.940444443	901779.9549944445	1226293.8795199685	118548.46050009767	20.30959752321981	0.36715	0.19445
exp4.d15.t2	0.204411764705882	15.0	2.0	0.2	0.795588235294118	18233823.176683333	952033.9462944444	1121307.332834298	151997.74845681054	19.1524926686217	0.36246999999999996	0.19030999999999998
exp4.d15.t1	0.248129997420686	15.0	1.0	0.2	0.751870002579314	22019623.854616668	977160.9419444443	2473545.3774094125	143205.09811643462	22.53428571428572	0.37363	0.19485
exp4.d16.t1	0.29294274300932105	16.0	1.0	0.2	0.707057256990679	17574937.512972225	887820.5129666667	1760889.4120985712	58629.65651666669	19.79559748427673	0.38328	0.20193
exp4.d16.t2	0.209695603156708	16.0	2.0	0.5	0.790304396843292	23697548.786355555	1066501.370922222	7334220.167061172	166322.51935426277	22.219895287958117	0.37463	0.19324000000000002
exp4.d16.t8	0.17799579537491195	16.0	8.0	0.2	0.822004204625088	19758194.246116668	709139.6550111109	1350431.5444673195	73177.30711808753	27.86220472440946	0.38234	0.19829000000000002
exp4.d16.t6	0.131967213114754	16.0	6.0	0.2	0.868032786885246	34125251.98110556	734266.6506611112	1895128.8318532184	42156.5904473931	46.475285171102655	0.33953	0.19522
exp4.d16.t7	0.167491749174917	16.0	7.0	0.2	0.832508250825083	34485405.58542222	921323.1738333331	22830518.367368527	112683.05096918534	37.43030303030304	0.37532	0.19655999999999998
exp4.d16.t4	0.272727272727273	16.0	4.0	0.5	0.7272727272727271	22167593.94011111	575129.0115444444	2254070.832998733	34870.67500889235	38.54368932038835	0.30864	0.19804000000000002
exp4.d16.t3	0.247226624405705	16.0	3.0	0.5	0.752773375594295	22508204.325588886	619799.2260333332	7656257.529731857	82490.73571439972	36.31531531531532	0.35738000000000003	0.19927
exp4.d16.t5	0.203240058910162	16.0	5.0	0.2	0.796759941089838	18557682.23172777	795688.1955833335	826493.2832166904	38382.11985098372	23.322807017543848	0.39614	0.20099
exp4.d17.t7	0.171468728039353	17.0	7.0	0.2	0.828531271960647	15065029.836377775	806855.7492055557	992095.0995044656	81348.94036092388	18.671280276816603	0.3805	0.19817
exp4.d17.t1	0.24632952691680304	17.0	1.0	0.2	0.7536704730831969	21385865.18655556	977160.9419444443	5367385.673178791	87176.68752223064	21.885714285714293	0.375	0.19735
exp4.d17.t3	0.271468531468531	17.0	3.0	0.5	0.728531468531469	19049054.591105554	1580208.8375444447	351811.1742967396	118548.46050009767	12.054770318021198	0.6408699999999999	0.34019
exp4.d17.t4	0.35863766926549	17.0	4.0	0.5	0.64136233073451	25154914.53405556	1432238.75205	7299897.177448709	38382.11985098358	17.563352826510723	0.5715399999999999	0.33121999999999996
exp4.d17.t8	0.1142578125	17.0	8.0	0.2	0.8857421875	21263022.09671111	463453.4753222223	2581340.52358403	37767.966307981515	45.87951807228915	0.37815	0.19875
exp4.d17.t5	0.147599915415521	17.0	5.0	0.2	0.852400084584479	30451126.83939445	767769.3115277778	17599507.58361943	67699.69594478577	39.66181818181819	0.38656999999999997	0.1964
exp4.d17.t6	0.0960102410923832	17.0	6.0	0.2	0.9039897589076168	25487149.25431666	778936.8651500002	767642.3970196756	94388.95334388108	32.720430107526866	0.34874	0.19956
exp4.d17.t2	0.23530706581554	17.0	2.0	0.5	0.7646929341844599	34965610.39117778	1619295.2752222219	5660365.605103632	220063.8628206964	21.59310344827587	0.6552399999999999	0.32732
exp4.d18.t8	0.21921921921921894	18.0	8.0	0.2	0.7807807807807811	13283805.033633333	573733.0673416667	2329348.64248468	85552.13484222311	23.153284671532845	0.37399	0.19829000000000002
exp4.d18.t7	0.188427299703264	18.0	7.0	0.2	0.811572700296736	13346622.522758333	942262.336875	2298663.641390696	37143.65940273471	14.164444444444444	0.37877	0.19885999999999998
exp4.d18.t3	0.39619284824764295	18.0	3.0	0.5	0.6038071517523571	20095314.771087494	2175579.0400291667	900487.8890191398	82738.40307418058	9.236766121270449	0.9917799999999999	0.4946
exp4.d18.t2	0.482203389830508	18.0	2.0	0.5	0.517796610169492	25062084.24457084	3113653.544295833	1302774.9770295941	276470.9695833764	8.049092131809015	1.00319	0.48047
exp4.d18.t4	0.5640609795653589	18.0	4.0	0.5	0.43593902043464106	25032769.4163125	2150452.044379167	1119760.451231178	244895.72374152308	11.640701071080818	0.9260200000000001	0.48488000000000003
exp4.d18.t1	0.248780487804878	18.0	1.0	0.2	0.751219512195122	11686146.893554168	1097212.1433833337	998295.3228462702	108129.37299186262	10.650763358778624	0.37911999999999996	0.1944
exp4.d18.t6	0.13843111404087	18.0	6.0	0.2	0.86156888595913	17467449.809358332	613517.4771208332	1752850.177034912	83020.54678499798	28.470989761092152	0.3411	0.19522
exp4.d18.t5	0.103658536585366	18.0	5.0	0.2	0.896341463414634	17693592.770208333	827096.9401458333	1231013.8523027778	72816.9242085152	21.39240506329114	0.38868	0.19549
exp4.d21.t3	0.6503576072821851	21.0	3.0	0.5	0.34964239271781494	13022065.4956125	1578812.8933416668	368806.7675973229	205331.9567452413	8.248010610079575	0.9917799999999999	0.49778
exp4.d21.t2	0.649445417396381	21.0	2.0	0.5	0.35055458260361905	14931717.1650125	2745124.2747625	1327807.1271221638	375280.5882039117	5.439359267734553	1.02104	0.48135
exp4.d21.t1	0.568380213385063	21.0	1.0	0.2	0.43161978661493705	4273683.176804166	1258443.6988041666	514694.6796272706	168122.92066070338	3.396006655574043	0.38959	0.1978
exp4.d21.t8	0.35526315789473706	21.0	8.0	0.2	0.6447368421052629	7571601.355866668	848036.1031875	683836.0068754179	58977.610055214805	8.928395061728397	0.38199	0.20034000000000002
exp4.d21.t7	0.538677918424754	21.0	7.0	0.2	0.461322081575246	5785490.7484125	1254255.866195833	834752.4565954239	117930.43699846115	4.6126878130217035	0.39034	0.20139
exp4.d21.t6	0.33041958041958003	21.0	6.0	0.2	0.66958041958042	6334096.820104168	873163.0988375002	321591.7345192681	83020.54678499814	7.254196642685851	0.35489	0.19704000000000002
exp4.d21.t5	0.463768115942029	21.0	5.0	0.2	0.536231884057971	5433712.8093125	1042770.319475	264718.284357553	92385.77678213076	5.210843373493976	0.40447	0.19846
exp4.d21.t4	0.834284084426697	21.0	4.0	0.5	0.165715915573303	13388500.848841667	309899.6130166667	1002528.9908931344	90983.01271643092	43.202702702702695	0.94096	0.49976000000000004
exp4.d22.t7	0.413513513513514	22.0	7.0	0.2	0.586486486486486	7633022.900788887	1080460.81295	71234.19969205865	184834.82066201192	7.064599483204133	0.38574	0.19863
exp4.d22.t8	0.308845577211394	22.0	8.0	0.2	0.691154422788606	6630734.963194445	820815.1912333333	293785.735431919	58629.65651666664	8.078231292517007	0.38024	0.19852
exp4.d22.t6	0.4547461368653421	22.0	6.0	0.2	0.545253863134658	4534026.770622223	753809.8695	315656.2912875221	79898.75388122696	6.014814814814815	0.35197	0.19773
exp4.d22.t1	0.642465753424658	22.0	1.0	0.2	0.35753424657534205	12945986.536561113	1208887.6796055557	948720.4883814616	155420.69377423695	10.709006928406467	0.38397	0.19644
exp4.d22.t2	0.6805396096440871	22.0	2.0	0.5	0.3194603903559129	16125947.43048889	2071581.1969222224	626907.9575660679	290181.8486890988	7.784366576819407	1.0318100000000001	0.48798
exp4.d22.t3	0.699899924943708	22.0	3.0	0.5	0.300100075056292	14456398.163966667	1571833.172327778	2191305.171724416	189951.02680151735	9.19715808170515	0.99321	0.5009899999999999
exp4.d22.t4	0.8802777777777779	22.0	4.0	0.5	0.11972222222222206	12892940.656855555	388072.4883722223	766468.7127739502	37767.96630798146	33.22302158273381	0.92358	0.4961
exp4.d22.t5	0.464991023339318	22.0	5.0	0.2	0.535008976660682	6814999.59796111	812439.5260166667	165476.80614836168	44319.85445606789	8.388316151202748	0.39938	0.19594
exp4.d23.t8	0.44707520891364905	23.0	8.0	0.2	0.552924791086351	5178952.992305555	695180.2129833334	1717406.2740706748	126746.8138895992	7.449799196787148	0.37676	0.19648
exp4.d23.t5	0.29800899165061	23.0	5.0	0.2	0.70199100834939	9227191.180361113	974369.053538889	378885.0760926904	75070.1361950384	9.469914040114613	0.40814	0.20099
exp4.d23.t4	0.7736631837738169	23.0	4.0	0.5	0.22633681622618307	13191672.71625	536042.5738666665	597496.7334174551	43521.2331073621	24.609375000000007	0.91874	0.49565
exp4.d23.t3	0.5209100033456	23.0	3.0	0.5	0.4790899966544	11600296.325083336	699368.0455916666	402729.2976724224	5922.4896716532785	16.586826347305394	0.97772	0.49641
exp4.d23.t2	0.719292117825125	23.0	2.0	0.5	0.28070788217487497	15425183.440694446	2197216.1751722223	616868.3592042944	97795.82990268902	7.0203303684879295	1.00319	0.47785
exp4.d23.t1	0.415860735009671	23.0	1.0	0.2	0.584139264990329	4707123.851766667	949242.0578888892	404380.72505045956	127940.39950327908	4.958823529411764	0.39314	0.1978
exp4.d23.t7	0.445167286245353	23.0	7.0	0.2	0.5548327137546469	5904843.97775	1013455.4912166664	254735.91273130965	94388.95334388096	5.826446280991736	0.3861	0.19702
