experiment,sampling_day,pbr_tube,Sample_concentration,cc_sampling_time,Filename,type_of_cell
2,0,7,808084.1801,4/17/2019 20:16,JF_PBR_xp2_d0_t7_02.#m4,b
2,0,7,430174.1655,4/17/2019 20:16,JF_PBR_xp2_d0_t7_02.#m4,c
2,0,7,1009100.145,4/17/2019 20:16,JF_PBR_xp2_d0_t7_03.#m4,b
2,0,7,373889.6953,4/17/2019 20:16,JF_PBR_xp2_d0_t7_03.#m4,c
2,0,8,333686.5022,4/17/2019 20:18,JF_PBR_xp2_d0_t8_01.#m4,b
2,0,8,160812.7722,4/17/2019 20:18,JF_PBR_xp2_d0_t8_01.#m4,c
2,0,8,478417.9972,4/17/2019 20:19,JF_PBR_xp2_d0_t8_02.#m4,b
2,0,8,305544.2671,4/17/2019 20:19,JF_PBR_xp2_d0_t8_02.#m4,c
2,0,8,514600.8709,4/17/2019 20:19,JF_PBR_xp2_d0_t8_03.#m4,b
2,0,8,329666.1829,4/17/2019 20:19,JF_PBR_xp2_d0_t8_03.#m4,c
2,10,1,9930188.681,4/27/2019 16:44,JF_PBR_xp2_d10_t1_01.#m4,b
2,10,1,90457.18434,4/27/2019 16:44,JF_PBR_xp2_d10_t1_01.#m4,c
2,10,1,10523185.78,4/27/2019 16:44,JF_PBR_xp2_d10_t1_02.#m4,b
2,10,1,115584.18,4/27/2019 16:44,JF_PBR_xp2_d10_t1_02.#m4,c
2,10,2,13066037.74,4/27/2019 16:42,JF_PBR_xp2_d10_t2_01.#m4,b
2,10,2,20101.59652,4/27/2019 16:42,JF_PBR_xp2_d10_t2_01.#m4,c
2,10,2,13171571.12,4/27/2019 16:42,JF_PBR_xp2_d10_t2_02.#m4,b
2,10,2,30152.39478,4/27/2019 16:42,JF_PBR_xp2_d10_t2_02.#m4,c
2,10,3,38278465.17,4/27/2019 16:40,JF_PBR_xp2_d10_t3_01.#m4,b
2,10,3,90457.18434,4/27/2019 16:40,JF_PBR_xp2_d10_t3_01.#m4,c
2,10,3,40715783.75,4/27/2019 16:40,JF_PBR_xp2_d10_t3_02.#m4,b
2,10,3,110558.7809,4/27/2019 16:40,JF_PBR_xp2_d10_t3_02.#m4,c
