,Measurement_type,Wavelength,Row,Column,Measurement,Well,Sample,True_abs_C,True_abs_B,Blank_for_measurement,Measurement-Blank
148,Absorbance,750_nm,E,7,0.2955999970436096,E7,S55,0.1,0.1,0.09009999781847,0.20549999922513962
149,Absorbance,750_nm,F,7,0.2281000018119812,F7,S67,0.1,0.05,0.09009999781847,0.1380000039935112
150,Absorbance,750_nm,G,7,0.21250000596046448,G7,S79,0.1,0.025,0.09009999781847,0.12240000814199448
151,Absorbance,750_nm,H,7,0.17339999973773956,H7,S91,0.1,0.0,0.09009999781847,0.08330000191926956
152,Absorbance,750_nm,A,8,0.3765999972820282,A8,S08,0.075,0.2,0.09009999781847,0.2864999994635582
153,Absorbance,750_nm,B,8,0.3553999960422516,B8,S20,0.075,0.175,0.09009999781847,0.2652999982237816
154,Absorbance,750_nm,C,8,0.32350000739097595,C8,S32,0.075,0.15,0.09009999781847,0.23340000957250595
155,Absorbance,750_nm,D,8,0.3037000000476837,D8,S44,0.075,0.125,0.09009999781847,0.21360000222921371
156,Absorbance,750_nm,E,8,0.26750001311302185,E8,S56,0.075,0.1,0.09009999781847,0.17740001529455185
157,Absorbance,750_nm,F,8,0.22040000557899475,F8,S68,0.075,0.05,0.09009999781847,0.13030000776052475
158,Absorbance,750_nm,G,8,0.18520000576972961,G8,S80,0.075,0.025,0.09009999781847,0.09510000795125961
159,Absorbance,750_nm,H,8,0.1657000035047531,H8,S92,0.075,0.0,0.09009999781847,0.07560000568628311
160,Absorbance,750_nm,A,9,0.3668999969959259,A9,S09,0.05,0.2,0.09009999781847,0.2767999991774559
161,Absorbance,750_nm,B,9,0.3294999897480011,B9,S21,0.05,0.175,0.09009999781847,0.2393999919295311
162,Absorbance,750_nm,C,9,0.3188999891281128,C9,S33,0.05,0.15,0.09009999781847,0.2287999913096428
163,Absorbance,750_nm,D,9,0.26919999718666077,D9,S45,0.05,0.125,0.09009999781847,0.17909999936819077
164,Absorbance,750_nm,E,9,0.24060000479221344,E9,S57,0.05,0.1,0.09009999781847,0.15050000697374344
165,Absorbance,750_nm,F,9,0.1898999959230423,F9,S69,0.05,0.05,0.09009999781847,0.0997999981045723
166,Absorbance,750_nm,G,9,0.15950000286102295,G9,S81,0.05,0.025,0.09009999781847,0.06940000504255295
167,Absorbance,750_nm,H,9,0.13609999418258667,H9,S93,0.05,0.0,0.09009999781847,0.04599999636411667
168,Absorbance,750_nm,A,10,0.34950000047683716,A10,S10,0.025,0.2,0.09009999781847,0.25940000265836716
169,Absorbance,750_nm,B,10,0.3188000023365021,B10,S22,0.025,0.175,0.09009999781847,0.22870000451803207
170,Absorbance,750_nm,C,10,0.2791000008583069,C10,S34,0.025,0.15,0.09009999781847,0.18900000303983688
171,Absorbance,750_nm,D,10,0.24130000174045563,D10,S46,0.025,0.125,0.09009999781847,0.15120000392198563
172,Absorbance,750_nm,E,10,0.2134999930858612,E10,S58,0.025,0.1,0.09009999781847,0.1233999952673912
173,Absorbance,750_nm,F,10,0.1607999950647354,F10,S70,0.025,0.05,0.09009999781847,0.07069999724626541
174,Absorbance,750_nm,G,10,0.1298999935388565,G10,S82,0.025,0.025,0.09009999781847,0.039799995720386505
