,well,content,t(h),A750c,F680c
220,C2,ICL_41,42,0.316221428,3507.666667
221,C3,ICL_114B,42,0.312771432,3522.5
222,C4,ICL_208B,42,0.042204762,1363.166667
223,C5,ICL_117,42,0.267338094,3235.166667
224,C6,ICL_132,42,0.059488093,1885.666667
225,C7,ICL_48,42,0.231621427,3573.833333
226,C8,ICL_201,42,0.231904762,3517.666667
227,C9,ICL_172,42,0.142321427,798.5
228,D1,ICL_186A,42,0.32982143,3343.666667
229,D10,Chlamy,42,0.023238097,917.5
230,D11,Chlamy,42,0.024804763,881.5
231,D12,Chlamy,42,0.02725476,914.5
232,D2,ICL_186B,42,0.042588097,1405.333333
233,D3,ICL_170,42,0.313238092,3359
234,D4,ICL_179A,42,0.325688091,3400.333333
235,D5,ICL_179B,42,0.032371424,1115.833333
236,D6,Chlamy,42,0.050821431,1415.833333
237,D7,Chlamy,42,0.030254761,1073
238,D8,Chlamy,42,0.028504764,1122.166667
239,D9,Chlamy,42,0.028371428,1016.5
240,E1,ICL_162,42,0.322471427,3113.833333
241,E10,ICL_118B,42,0.113254763,2288.5
242,E11,ICL_100,42,0.056988093,1680
243,E12,ICL_108,42,0.027421427,830.1666667
244,E2,ICL_202A,42,0.276154764,3367.666667
245,E3,ICL_202B,42,0.273938097,3468.833333
246,E4,ICL_202C,42,0.273704765,3479.833333
247,E5,ICL_131,42,0.26352143,3347.166667
248,E6,ICL_116,42,0.286471434,3355.166667
249,E7,ICL_112,42,0.267354769,3354.833333
250,E8,ICL_163,42,0.052988094,1886.833333
251,E9,ICL_24,42,0.05062143,1804.833333
252,F1,ICL_115,42,0.031971428,1235.333333
253,F10,ICL_20BA,42,0.040254762,1333.5
254,F11,ICL_20BB,42,0.052771427,1733.833333
255,F12,ICL_60,42,0.031838094,997.6666667
256,F2,ICL_199,42,0.036704764,1538.5
257,F3,ICL_101,42,0.032571425,1240
258,F4,ICL_139A,42,0.036504765,1229.666667
259,F5,ICL_103,42,0.030021428,1089
260,F6,ICL_160,42,0.044154763,1661.833333
261,F7,ICL_129A,42,0.252954763,3203.666667
262,F8,ICL_129B,42,0.02607143,1051.166667
263,F9,ICL_133,42,0.040871429,1396.833333
264,G1,ICL_144,42,0.02815476,1037.666667
265,G10,ICL_184BA,42,0.249738099,3542.666667
266,G11,ICL_184BB,42,0.237521427,3495.166667
267,G12,ICL_193,42,0.337104765,3363.666667
268,G2,ICL_41,42,0.312104764,3350.5
269,G3,ICL_114B,42,0.308754764,3423.166667
270,G4,ICL_208B,42,0.036021429,1300.666667
271,G5,ICL_117,42,0.062288093,2008.333333
272,G6,ICL_132,42,0.049521429,1686.666667
273,G7,ICL_48,42,0.243088094,3663
274,G8,ICL_201,42,0.239604764,3568
275,G9,ICL_172,42,0.150888098,920.5
276,H1,ICL_186A,42,0.305004763,3180.833333
277,H10,Chlamy,42,0.030554759,1140.333333
278,H11,Chlamy,42,0.032104759,1069.5
279,H12,Chlamy,42,0.079321429,1101.666667
280,H2,ICL_186B,42,0.061138093,1755
281,H3,ICL_170,42,0.300804761,3348.333333
282,H4,ICL_179A,42,0.324038096,3506.333333
283,H5,ICL_179B,42,0.034054763,1205.166667
284,H6,Chlamy,42,0.026804761,1052.666667
285,H7,Chlamy,42,0.026521429,999.1666667
286,H8,Chlamy,42,0.030171431,1120
287,H9,Chlamy,42,0.025438097,1093.5
288,A1,ICL_162,70,0.237641663,4368.166667
289,A10,ICL_118B,70,0.259641658,4445.166667
290,A11,ICL_100,70,0.152558333,5446.5
291,A12,ICL_108,70,0.196524993,5196.5
292,A2,ICL_202A,70,0.211741662,4339
293,A3,ICL_202B,70,0.217075001,4383.5
294,A4,ICL_202C,70,0.210974997,4356.166667
295,A5,ICL_131,70,0.196991668,4539.5
296,A6,ICL_116,70,0.202924998,4424.166667
297,A7,ICL_112,70,0.200691671,4243.833333
298,A8,ICL_163,70,0.18980833,5428.333333
299,A9,ICL_24,70,0.181091667,5353.666667
300,B1,ICL_115,70,0.188191658,5472
301,B10,ICL_20BA,70,0.223341665,5209.5
302,B11,ICL_20BB,70,0.194391664,5325.5
303,B12,ICL_60,70,0.201241663,5353.666667
304,B2,ICL_199,70,0.186974998,5296.666667
305,B3,ICL_101,70,0.195091671,5094.833333
306,B4,ICL_139A,70,0.190091665,5089.166667
307,B5,ICL_103,70,0.204408334,5091.5
308,B6,ICL_160,70,0.178458334,5057.833333
309,B7,ICL_129A,70,0.225508323,4486.833333
310,B8,ICL_129B,70,0.211974999,4970.5
311,B9,ICL_133,70,0.213208329,5127.833333
312,C1,ICL_144,70,0.187075,5019.166667
313,C10,ICL_184BA,70,0.187075,4296
314,C11,ICL_184BB,70,0.186191669,3912.166667
315,C12,ICL_193,70,0.24789166,4491.833333
316,C2,ICL_41,70,0.275258338,4753
