,well,content,t(h),A750c
313,C10,ICL_184BA,70,0.108125
314,C11,ICL_184BB,70,0.108974999
315,C12,ICL_193,70,0.121975003
316,C2,ICL_41,70,0.085074997
317,C3,ICL_114B,70,0.083975001
318,C4,ICL_208B,70,0.050174998
319,C5,ICL_117,70,0.229124999
320,C6,ICL_132,70,-0.019025003
321,C7,ICL_48,70,0.099924995
322,C8,ICL_201,70,0.079474999
323,C9,ICL_172,70,0.092074996
324,D1,ICL_186A,70,0.203424996
325,D10,BLANK,70,-0.014725001
326,D11,BLANK,70,-0.013674998
327,D12,BLANK,70,0.028225003
328,D2,ICL_186B,70,-0.011225002
329,D3,ICL_170,70,0.151275
330,D4,ICL_179A,70,0.193024999
331,D5,ICL_179B,70,0.047475001
332,D6,BLANK,70,-0.020924998
333,D7,BLANK,70,0.036774999
334,D8,BLANK,70,-0.015175001
335,D9,BLANK,70,-0.016825
336,E1,ICL_162,70,0.186325005
337,E10,ICL_118B,70,-0.008925
338,E11,ICL_100,70,-0.007925002
339,E12,ICL_108,70,-0.015375001
340,E2,ICL_202A,70,0.131174995
341,E3,ICL_202B,70,0.122775002
342,E4,ICL_202C,70,0.120274997
343,E5,ICL_131,70,0.111725001
344,E6,ICL_116,70,0.124074994
345,E7,ICL_112,70,0.119874997
346,E8,ICL_163,70,-0.015425002
347,E9,ICL_24,70,-0.009825
348,F1,ICL_115,70,-0.021175002
349,F10,ICL_20BA,70,-0.010725004
350,F11,ICL_20BB,70,0.004424999
351,F12,ICL_60,70,-0.017525
352,F2,ICL_199,70,-0.017425002
353,F3,ICL_101,70,-0.014625
354,F4,ICL_139A,70,-0.023775002
355,F5,ICL_103,70,-0.019525001
356,F6,ICL_160,70,-0.019025
357,F7,ICL_129A,70,0.112975
358,F8,ICL_129B,70,-0.014875
359,F9,ICL_133,70,-0.016124999
360,G1,ICL_144,70,-0.013375001
361,G10,ICL_184BA,70,0.113774998
362,G11,ICL_184BB,70,0.122574998
363,G12,ICL_193,70,0.134624994
364,G2,ICL_41,70,0.097074999
365,G3,ICL_114B,70,0.101975
366,G4,ICL_208B,70,-0.013975
367,G5,ICL_117,70,0.296975008
368,G6,ICL_132,70,0.046374997
369,G7,ICL_48,70,0.099775
370,G8,ICL_201,70,0.096974997
371,G9,ICL_172,70,0.095125003
372,H1,ICL_186A,70,0.181824988
373,H10,BLANK,70,-0.011925002
374,H11,BLANK,70,-0.013425002
375,H12,BLANK,70,-0.010475
376,H2,ICL_186B,70,0.048775001
377,H3,ICL_170,70,0.148175007
378,H4,ICL_179A,70,0.185225001
379,H5,ICL_179B,70,-0.014175003
380,H6,BLANK,70,-0.022625001
381,H7,BLANK,70,0.052325001
382,H8,BLANK,70,-0.018725002
383,H9,BLANK,70,0.041175002
384,A1,ICL_162,93,0.148060725
385,A10,ICL_118B,93,0.082110712
386,A11,ICL_100,93,-0.018139286
387,A12,ICL_108,93,-0.017689286
388,A2,ICL_202A,93,0.123510712
389,A3,ICL_202B,93,0.12426071
390,A4,ICL_202C,93,0.114960709
391,A5,ICL_131,93,0.101210715
392,A6,ICL_116,93,0.101160706
393,A7,ICL_112,93,0.120210716
394,A8,ICL_163,93,0.110710712
395,A9,ICL_24,93,-0.012339285
396,B1,ICL_115,93,0.037810714
397,B10,ICL_20BA,93,-0.015489286
398,B11,ICL_20BB,93,0.052160719
399,B12,ICL_60,93,-0.015239286
400,B2,ICL_199,93,-0.016689288
401,B3,ICL_101,93,0.049760712
402,B4,ICL_139A,93,-0.017839289
403,B5,ICL_103,93,-0.020139287
404,B6,ICL_160,93,0.049760716
405,B7,ICL_129A,93,0.114760713
406,B8,ICL_129B,93,0.05406071
407,B9,ICL_133,93,0.039260713
408,C1,ICL_144,93,-0.017639285
409,C10,ICL_184BA,93,0.099960716
410,C11,ICL_184BB,93,0.104410717
411,C12,ICL_193,93,0.111460717
412,C2,ICL_41,93,0.110160717
413,C3,ICL_114B,93,0.091560715
414,C4,ICL_208B,93,0.038460714
415,C5,ICL_117,93,0.156210722
416,C6,ICL_132,93,-0.015339284
417,C7,ICL_48,93,0.095760712
418,C8,ICL_201,93,0.072010712
419,C9,ICL_172,93,0.085610711
420,D1,ICL_186A,93,0.160010712
421,D10,BLANK,93,-0.017289283
422,D11,BLANK,93,-0.018639284
423,D12,BLANK,93,0.061610711
424,D2,ICL_186B,93,-0.010089284
425,D3,ICL_170,93,0.128060715
426,D4,ICL_179A,93,0.149110706
427,D5,ICL_179B,93,0.050360714
428,D6,BLANK,93,-0.012339285
429,D7,BLANK,93,0.035810714
430,D8,BLANK,93,-0.017039287
431,D9,BLANK,93,-0.022289286
432,E1,ICL_162,93,0.154810713
433,E10,ICL_118B,93,0.069560715
434,E11,ICL_100,93,-0.002939286
435,E12,ICL_108,93,-0.011339287
436,E2,ICL_202A,93,0.130410717
437,E3,ICL_202B,93,0.124910714
438,E4,ICL_202C,93,0.119660714
439,E5,ICL_131,93,0.099260712
440,E6,ICL_116,93,0.108060711
441,E7,ICL_112,93,0.120260717
442,E8,ICL_163,93,-0.014239288
443,E9,ICL_24,93,-0.011839284
444,F1,ICL_115,93,-0.01438929
445,F10,ICL_20BA,93,-0.005589286
446,F11,ICL_20BB,93,0.003660717
447,F12,ICL_60,93,-0.018289285
448,F2,ICL_199,93,-0.014689288
449,F3,ICL_101,93,-0.018489289
450,F4,ICL_139A,93,-0.021889287
451,F5,ICL_103,93,-0.01743929
452,F6,ICL_160,93,-0.019339288
453,F7,ICL_129A,93,0.115860717
454,F8,ICL_129B,93,-0.004539287
455,F9,ICL_133,93,-0.013839288
456,G1,ICL_144,93,-0.013589288
457,G10,ICL_184BA,93,0.107110718
458,G11,ICL_184BB,93,0.121710712
459,G12,ICL_193,93,0.120510714
460,G2,ICL_41,93,0.125010708
461,G3,ICL_114B,93,0.126960711
462,G4,ICL_208B,93,-0.015089287
463,G5,ICL_117,93,0.194760711
464,G6,ICL_132,93,0.053710712
465,G7,ICL_48,93,0.095010714
466,G8,ICL_201,93,0.082260714
467,G9,ICL_172,93,0.094160715
468,H1,ICL_186A,93,0.164660708
469,H10,BLANK,93,-0.019089284
470,H11,BLANK,93,-0.020189288
