,well,content,t(h),A750c,F680c
399,B12,ICL_60,93,0.191685723,5595
400,B2,ICL_199,93,0.185985723,5649
401,B3,ICL_101,93,0.182510705,5469.5
402,B4,ICL_139A,93,0.190735714,5745.75
403,B5,ICL_103,93,0.20306071,5851.25
404,B6,ICL_160,93,0.189360709,5805.5
405,B7,ICL_129A,93,0.194785708,5917.5
406,B8,ICL_129B,93,0.194185713,5771.75
407,B9,ICL_133,93,0.189960719,5575.5
408,C1,ICL_144,93,0.186285713,5849.25
409,C10,ICL_184BA,93,0.196060711,5780.75
410,C11,ICL_184BB,93,0.200160713,5868.75
411,C12,ICL_193,93,0.197635712,5916
412,C2,ICL_41,93,0.184335702,5613.25
413,C3,ICL_114B,93,0.180835718,5454.25
414,C4,ICL_208B,93,0.193985717,5664.75
415,C5,ICL_117,93,0.189910711,5608.5
416,C6,ICL_132,93,0.204760709,5866.5
417,C7,ICL_48,93,0.191660711,5875.75
418,C8,ICL_201,93,0.187835717,5588
419,C9,ICL_172,93,0.189535716,5545.75
420,D1,ICL_186A,93,0.193535717,5823.75
421,D10,Chlamy,93,0.154660718,7364.75
422,D11,Chlamy,93,0.155035713,7218.25
423,D12,Chlamy,93,0.168735707,7496.75
424,D2,ICL_186B,93,0.186360711,5494
425,D3,ICL_170,93,0.184510709,5410.25
426,D4,ICL_179A,93,0.191885719,5762.5
427,D5,ICL_179B,93,0.192885713,5788.25
428,D6,Chlamy,93,0.17071071,7592
429,D7,Chlamy,93,0.165285715,7491
430,D8,Chlamy,93,0.164285713,7358.75
431,D9,Chlamy,93,0.163085715,7450.25
432,E1,ICL_162,93,0.189060712,5963.25
433,E10,ICL_118B,93,0.197485716,5675.5
434,E11,ICL_100,93,0.200735712,5613
435,E12,ICL_108,93,0.200310716,5951.5
436,E2,ICL_202A,93,0.192935714,5648.25
437,E3,ICL_202B,93,0.18851071,5406.5
438,E4,ICL_202C,93,0.192410709,5757.75
439,E5,ICL_131,93,0.196485714,5664.75
440,E6,ICL_116,93,0.189260715,5569.75
441,E7,ICL_112,93,0.194760719,5851.5
442,E8,ICL_163,93,0.193460712,5780
443,E9,ICL_24,93,0.161485714,4988
444,F1,ICL_115,93,0.196510711,6175
445,F10,ICL_20BA,93,0.18258571,5523.75
446,F11,ICL_20BB,93,0.189385713,5651
447,F12,ICL_60,93,0.187035718,6073.25
448,F2,ICL_199,93,0.210485713,6000.5
449,F3,ICL_101,93,0.182360717,5530.25
450,F4,ICL_139A,93,0.184660727,5518
451,F5,ICL_103,93,0.186810711,5609
452,F6,ICL_160,93,0.184010716,5518.5
453,F7,ICL_129A,93,0.187635714,5692
454,F8,ICL_129B,93,0.186735713,5766.5
455,F9,ICL_133,93,0.181735703,5536.75
456,G1,ICL_144,93,0.206985721,6255.25
457,G10,ICL_184BA,93,0.144710713,3896.75
458,G11,ICL_184BB,93,0.209235714,3977.25
459,G12,ICL_193,93,0.227435709,4194.5
460,G2,ICL_41,93,0.206885712,6052
461,G3,ICL_114B,93,0.193910712,5868.5
462,G4,ICL_208B,93,0.194360712,5692
463,G5,ICL_117,93,0.202735716,6083.25
464,G6,ICL_132,93,0.201235713,5898.25
465,G7,ICL_48,93,0.194010714,5793.75
466,G8,ICL_201,93,0.191635714,5660.5
467,G9,ICL_172,93,0.190860712,5487.25
468,H1,ICL_186A,93,0.194260718,7084.25
