Well	Mean	StDev	0;2	1;2	2;2	2;1	1;1	0;1	0;0	1;0	2;0	wavelength	mode
E10	0.6653000116348267	0.10170000046491623	0.7937999963760376	0.6281999945640564	0.8402000069618225	0.617900013923645	0.5546000003814697	0.5644999742507935	0.6937000155448914	0.5835999846458435	0.7107999920845032	600	Absorbance
E11	0.6011000275611877	0.10649999976158142	0.738099992275238	0.5735999941825867	0.7888000011444092	0.5539000034332275	0.489300012588501	0.4957999885082245	0.6187000274658203	0.510699987411499	0.6413000226020813	600	Absorbance
E12	0.454800009727478	0.10790000110864639	0.5788999795913696	0.4108999967575073	0.656499981880188	0.414900004863739	0.35040000081062317	0.34869998693466187	0.4675999879837036	0.3610000014305115	0.5047000050544739	600	Absorbance
F1	1.0592000484466553	0.07580000162124634	1.1727999448776245	1.0211999416351318	1.1226999759674072	0.9900000095367432	0.9611999988555908	1.0051000118255615	1.1430000066757202	1.018399953842163	1.0981999635696411	600	Absorbance
F2	1.0090999603271484	0.07919999957084656	1.125	0.9725000262260437	1.1030000448226929	0.9484999775886536	0.9117000102996826	0.9422000050544739	1.0743999481201172	0.9546999931335449	1.0503000020980835	600	Absorbance
F3	0.9588000178337097	0.0820000022649765	1.0844000577926636	0.9232000112533569	1.054900050163269	0.8942000269889832	0.8605999946594238	0.8891000151634216	1.0290000438690186	0.9046000242233276	0.9891999959945679	600	Absorbance
F4	0.9236000180244446	0.08299999684095383	1.0317000150680542	0.8852999806404114	1.0356999635696411	0.8648999929428101	0.8217999935150146	0.8482999801635742	0.987500011920929	0.864799976348877	0.9722999930381775	600	Absorbance
F5	0.8871999979019165	0.08959999680519104	1.0188000202178955	0.8580999970436096	1.0125999450683594	0.8206999897956848	0.7784000039100647	0.8141000270843506	0.942799985408783	0.819599986076355	0.919700026512146	600	Absorbance
F6	0.8403000235557556	0.09539999812841415	0.9800999760627747	0.8039000034332275	0.9663000106811523	0.7700999975204468	0.7254999876022339	0.7602999806404114	0.8984000086784363	0.7660999894142151	0.8916000127792358	600	Absorbance
F7	0.7781999707221985	0.09430000185966492	0.9047999978065491	0.7468000054359436	0.9153000116348267	0.7138000130653381	0.6642000079154968	0.6905999779701233	0.8234999775886536	0.7074999809265137	0.8371000289916992	600	Absorbance
F8	0.73580002784729	0.09610000252723694	0.8579000234603882	0.6991999745368958	0.882099986076355	0.6776999831199646	0.6222000122070312	0.642799973487854	0.7821000218391418	0.6618000268936157	0.796500027179718	600	Absorbance
F9	0.6647999882698059	0.10000000149011612	0.7958999872207642	0.6297000050544739	0.828499972820282	0.60589998960495	0.555400013923645	0.5665000081062317	0.7056000232696533	0.5866000056266785	0.7088000178337097	600	Absorbance
F10	0.6116999983787537	0.10750000178813934	0.7405999898910522	0.5681999921798706	0.7936000227928162	0.5647000074386597	0.49540001153945923	0.498199999332428	0.642799973487854	0.5267999768257141	0.6754000186920166	600	Absorbance
F11	0.5468999743461609	0.11320000141859055	0.6884999871253967	0.5162000060081482	0.7473000288009644	0.4997999966144562	0.4244000017642975	0.435699999332428	0.5649999976158142	0.45089998841285706	0.5940999984741211	600	Absorbance
F12	0.4097999930381775	0.11869999766349792	0.5649999976158142	0.37689998745918274	0.6164000034332275	0.3686999976634979	0.2872999906539917	0.29319998621940613	0.4255000054836273	0.29919999837875366	0.45579999685287476	600	Absorbance
G1	1.0182000398635864	0.07940000295639038	1.118299961090088	0.9692000150680542	1.0947999954223633	0.9519000053405762	0.9179999828338623	0.9514999985694885	1.0978000164031982	0.9739000201225281	1.0884000062942505	600	Absorbance
G2	0.9539999961853027	0.08380000293254852	1.057800054550171	0.9027000069618225	1.0370999574661255	0.8830999732017517	0.8521999716758728	0.8795999884605408	1.0397000312805176	0.9064000248908997	1.0270999670028687	600	Absorbance
G3	0.9164999723434448	0.08349999785423279	1.0184999704360962	0.8608999848365784	0.9972000122070312	0.8486999869346619	0.8095999956130981	0.8436999917030334	1.0041999816894531	0.8769000172615051	0.9883999824523926	600	Absorbance
G4	0.8823999762535095	0.08919999748468399	1.0074000358581543	0.8349999785423279	0.9947999715805054	0.8191999793052673	0.7717000246047974	0.8046000003814697	0.9424999952316284	0.8230000138282776	0.9437000155448914	600	Absorbance
G5	0.8335000276565552	0.08839999884366989	0.958899974822998	0.7874000072479248	0.9491999745368958	0.7685999870300293	0.7264999747276306	0.7577000260353088	0.8920999765396118	0.7738000154495239	0.8876000046730042	600	Absorbance
G6	0.7839000225067139	0.09139999747276306	0.9132000207901001	0.738099992275238	0.9006999731063843	0.7160999774932861	0.6714000105857849	0.7074999809265137	0.8456000089645386	0.720300018787384	0.8427000045776367	600	Absorbance
G7	0.7232999801635742	0.09300000220537186	0.8457000255584717	0.6751999855041504	0.857200026512146	0.6654000282287598	0.6144000291824341	0.6377000212669373	0.7702999711036682	0.6541000008583069	0.7900000214576721	600	Absorbance
