Well	mode	wavelength	abs
C7	Absorbance	530	0.8970999717712402
C8	Absorbance	530	0.8585000038146973
C9	Absorbance	530	0.7846999764442444
C10	Absorbance	530	0.7263000011444092
C11	Absorbance	530	0.6502000093460083
C12	Absorbance	530	0.5005999803543091
D1	Absorbance	530	1.1360000371932983
D2	Absorbance	530	1.0569000244140625
D3	Absorbance	530	1.0282000303268433
D4	Absorbance	530	0.9925000071525574
D5	Absorbance	530	0.9538000226020813
D6	Absorbance	530	0.902899980545044
D7	Absorbance	530	0.8472999930381775
D8	Absorbance	530	0.7695000171661377
D9	Absorbance	530	0.6962000131607056
D10	Absorbance	530	0.617900013923645
D11	Absorbance	530	0.5504000186920166
D12	Absorbance	530	0.4081000089645386
E1	Absorbance	530	1.0674999952316284
E2	Absorbance	530	1.0149999856948853
E3	Absorbance	530	0.9657999873161316
E4	Absorbance	530	0.9293000102043152
E5	Absorbance	530	0.8863999843597412
E6	Absorbance	530	0.8313000202178955
E7	Absorbance	530	0.772599995136261
E8	Absorbance	530	0.7111999988555908
E9	Absorbance	530	0.6474999785423279
E10	Absorbance	530	0.5859000086784363
E11	Absorbance	530	0.517300009727478
E12	Absorbance	530	0.3725999891757965
F1	Absorbance	530	1.013700008392334
F2	Absorbance	530	0.963699996471405
F3	Absorbance	530	0.9110999703407288
F4	Absorbance	530	0.8738999962806702
F5	Absorbance	530	0.8282999992370605
F6	Absorbance	530	0.767300009727478
F7	Absorbance	530	0.7013000249862671
F8	Absorbance	530	0.6546000242233276
F9	Absorbance	530	0.58160001039505
F10	Absorbance	530	0.5220000147819519
F11	Absorbance	530	0.44920000433921814
F12	Absorbance	530	0.30489999055862427
G1	Absorbance	530	0.9710000157356262
G2	Absorbance	530	0.9010000228881836
G3	Absorbance	530	0.8510000109672546
G4	Absorbance	530	0.8155999779701233
G5	Absorbance	530	0.767799973487854
G6	Absorbance	530	0.7106999754905701
G7	Absorbance	530	0.6467999815940857
G8	Absorbance	530	0.5861999988555908
G9	Absorbance	530	0.5117999911308289
G10	Absorbance	530	0.4494999945163727
G11	Absorbance	530	0.3756999969482422
G12	Absorbance	530	0.23469999432563782
H1	Absorbance	530	0.8682000041007996
H2	Absorbance	530	0.7918000221252441
H3	Absorbance	530	0.7432000041007996
H4	Absorbance	530	0.7149999737739563
H5	Absorbance	530	0.6563000082969666
H6	Absorbance	530	0.5879999995231628
H7	Absorbance	530	0.5263000130653381
H8	Absorbance	530	0.4512999951839447
H9	Absorbance	530	0.36340001225471497
H10	Absorbance	530	0.30570000410079956
H11	Absorbance	530	0.23409999907016754
H12	Absorbance	530	0.08739999681711197
A1	Absorbance	540	1.1818000078201294
A2	Absorbance	540	1.1341999769210815
A3	Absorbance	540	1.0764000415802002
A4	Absorbance	540	1.0317000150680542
A5	Absorbance	540	1.0059000253677368
A6	Absorbance	540	0.960099995136261
A7	Absorbance	540	0.9077000021934509
A8	Absorbance	540	0.8648999929428101
A9	Absorbance	540	0.8108999729156494
A10	Absorbance	540	0.7663999795913696
A11	Absorbance	540	0.6976000070571899
A12	Absorbance	540	0.5838000178337097
B1	Absorbance	540	1.1456999778747559
B2	Absorbance	540	1.0986000299453735
B3	Absorbance	540	1.045300006866455
B4	Absorbance	540	1.002500057220459
B5	Absorbance	540	0.9541000127792358
B6	Absorbance	540	0.9100000262260437
B7	Absorbance	540	0.8637999892234802
B8	Absorbance	540	0.8194000124931335
B9	Absorbance	540	0.7475000023841858
B10	Absorbance	540	0.6865000128746033
