NAME	ICL-Chlamy PBR exp2
GROUP_TYPE	[unknown]
GROUP_NAME	MC272-group
GROUP_ID	group-109
START	Apr 17, 2019 9:15:43 PM
PLANNED_DURATION	60d 00:00:00
PLANNED_DURATION_SEC	5184000
DURATION	14d 16:43:23
DURATION_SEC	1269803
INOCULUM	85 mL each vessel (4.7x10^5 Chlamy/mL)
MEDIUM	TP NH4-NO3
ORGANISM	1-5 (ICL+Chlamy); 6-8 (Chlamy)
GASSING	
TERMINATION	stopped
TIME_FORMAT	HOURS
TIME_FROM_SEC	0
TIME_TO_SEC	1269803
NOTES	The OD was calibrated at the beggining of the experiment with the cultivation vessels inserted into the PBR.

0 OD = 4.7x10^5 Chlamy/mL

time	od-sensors-1.od-680	od-sensors-1.od-720	od-sensors-2.od-680	od-sensors-2.od-720	od-sensors-3.od-680	od-sensors-3.od-720	od-sensors-4.od-680	od-sensors-4.od-720	od-sensors-5.od-680	od-sensors-5.od-720	od-sensors-6.od-680	od-sensors-6.od-720	od-sensors-7.od-680	od-sensors-7.od-720	od-sensors-8.od-680	od-sensors-8.od-720	pumps-1002.pump-0-consumption	pumps-1002.pump-1-consumption	pumps-1002.pump-2-consumption	pumps-1002.pump-3-consumption	pumps-1002.pump-4-consumption	pumps-1002.pump-5-consumption	pumps-1002.pump-6-consumption	pumps-1002.pump-7-consumption
9	0.11032	0.05919	0.12791	0.09225	0.08849	0.05712	0.09009	0.06168	0.11641	0.07447	0.05951	0.03436	0.08318	0.04336	0.05997	0.02038								
9.083333	0.11255	0.06972	0.13006	0.0955	0.08991	0.05978	0.08566	0.06168	0.11868	0.07811	0.06119	0.03515	0.08405	0.05872	0.06081	0.0328								
9.166667	0.11218	0.07585	0.13184	0.09804	0.09259	0.06346	0.08636	0.06285	0.11963	0.07846	0.06052	0.03594	0.08144	0.04497	0.06014	0.02113								
9.25	0.09842	0.06117	0.13223	0.09767	0.09205	0.06128	0.0908	0.06386	0.12268	0.07828	0.05951	0.03468	0.0837	0.05425	0.05039	0.02189								
9.333333	0.10497	0.06151	0.1354	0.10005	0.09009	0.06028	0.09151	0.06319	0.12192	0.0795	0.06152	0.03578	0.08388	0.04529	0.05088	0.02083								
9.416667	0.10736	0.06534	0.13679	0.09913	0.09456	0.06245	0.08866	0.06252	0.12249	0.08055	0.06102	0.03594	0.0851	0.05277	0.05648	0.02234								
9.5	0.09734	0.06267	0.13322	0.09895	0.0942	0.06379	0.09098	0.06369	0.12345	0.08195	0.0627	0.03704	0.07745	0.0432	0.05121	0.0231								
9.583333	0.10205	0.06517	0.1348	0.09822	0.09637	0.06615	0.09116	0.0686	0.12614	0.08283	0.06236	0.03735	0.08651	0.04626	0.05367	0.02402								
9.666667	0.11162	0.06484	0.13759	0.10225	0.09691	0.06666	0.09565	0.06877	0.12692	0.08459	0.06219	0.03688	0.08616	0.06122	0.06349	0.02463								
9.75	0.10114	0.06685	0.1402	0.10225	0.09836	0.06683	0.09745	0.07047	0.12847	0.08601	0.06303	0.03894	0.08651	0.04772	0.05153	0.02387								
9.833333	0.12102	0.0709	0.14302	0.10501	0.098	0.06869	0.09727	0.07424	0.13041	0.08778	0.06337	0.03846	0.08774	0.04691	0.05847	0.02509								
9.916667	0.12217	0.06921	0.1398	0.10261	0.10036	0.06835	0.09402	0.06826	0.13139	0.08903	0.06607	0.03989	0.08022	0.04432	0.06653	0.028								
10	0.1046	0.06853	0.14465	0.10575	0.10127	0.06852	0.09854	0.07132	0.13158	0.08974	0.06388	0.03609	0.08792	0.04691	0.05301	0.02371								
10.083333	0.11686	0.0709	0.14485	0.10873	0.10274	0.07108	0.09438	0.07081	0.13394	0.09028	0.0627	0.03799	0.0904	0.0513	0.0593	0.02524								
10.166667	0.12696	0.09158	0.14587	0.1078	0.10366	0.07279	0.09565	0.06996	0.13198	0.08974	0.06607	0.03941	0.08898	0.06525	0.06772	0.04001								
10.25	0.1258	0.07688	0.15037	0.11267	0.10679	0.07245	0.09982	0.07304	0.13413	0.09243	0.0654	0.04084	0.09093	0.06509	0.06097	0.02754								
10.333333	0.126	0.08627	0.14791	0.11041	0.10605	0.07176	0.10127	0.07649	0.1363	0.09315	0.06641	0.04212	0.09075	0.06475	0.0708	0.03093								
10.416667	0.11087	0.07585	0.15017	0.11285	0.10883	0.07641	0.10329	0.07459	0.1365	0.09243	0.06811	0.04068	0.092	0.06122	0.06097	0.02908								
10.5	0.13005	0.07602	0.15285	0.11455	0.10679	0.07262	0.10274	0.07424	0.13809	0.09459	0.06557	0.04084	0.08704	0.04918	0.05914	0.02877								
10.583333	0.13161	0.08539	0.1543	0.1138	0.10977	0.07658	0.10091	0.07632	0.14247	0.09604	0.06692	0.04037	0.0954	0.06661	0.07045	0.02985								
10.666667	0.1178	0.07534	0.15596	0.11399	0.11182	0.07779	0.10403	0.07597	0.14308	0.09586	0.06726	0.04116	0.09468	0.05146	0.05997	0.02923								
10.75	0.11292	0.07551	0.1591	0.11778	0.11145	0.07727	0.10587	0.07684	0.14428	0.09749	0.06692	0.04148	0.07935	0.04934	0.06248	0.03202								
10.833333	0.12677	0.07999	0.1591	0.12007	0.11238	0.07953	0.1055	0.07962	0.14569	0.09858	0.06794	0.041	0.0954	0.06865	0.07423	0.04303								
