experiment	sampling_day	pbr_tube	Sample_concentration	cc_sampling_time	Filename	type_of_cell
1	49	6	4623367.1996	2019-04-15 10:50:06	JF_PBR_xp1_d49_t6_01.#m4	c
1	49	6	533697387.60600007	2019-04-15 10:50:36	JF_PBR_xp1_d49_t6_02.#m4	b
1	49	6	4824383.1648	2019-04-15 10:50:36	JF_PBR_xp1_d49_t6_02.#m4	c
1	49	6	458718432.58640003	2019-04-15 10:51:05	JF_PBR_xp1_d49_t6_03.#m4	b
1	49	6	5829462.990800001	2019-04-15 10:51:05	JF_PBR_xp1_d49_t6_03.#m4	c
1	49	7	1708434688.2347999	2019-04-15 10:52:52	JF_PBR_xp1_d49_t7_01.#m4	b
1	49	7	603047.8956	2019-04-15 10:52:52	JF_PBR_xp1_d49_t7_01.#m4	c
1	49	7	261521770.72519997	2019-04-15 10:53:21	JF_PBR_xp1_d49_t7_02.#m4	b
1	49	7	603047.8956	2019-04-15 10:53:21	JF_PBR_xp1_d49_t7_02.#m4	c
1	49	7	186341799.74040002	2019-04-15 10:55:57	JF_PBR_xp1_d49_t7_03.#m4	b
1	49	7	402031.9304	2019-04-15 10:55:57	JF_PBR_xp1_d49_t7_03.#m4	c
1	49	8	1558677794.1608	2019-04-15 10:57:54	JF_PBR_xp1_d49_t8_01.#m4	b
1	49	8	201015.9652	2019-04-15 10:57:54	JF_PBR_xp1_d49_t8_01.#m4	c
1	49	8	488870827.36640006	2019-04-15 10:58:23	JF_PBR_xp1_d49_t8_02.#m4	b
1	49	8	201015.9652	2019-04-15 10:58:23	JF_PBR_xp1_d49_t8_02.#m4	c
1	49	8	401629898.4696	2019-04-15 10:58:52	JF_PBR_xp1_d49_t8_03.#m4	b
1	49	8	0.0	2019-04-15 10:58:52	JF_PBR_xp1_d49_t8_03.#m4	c
2	0	1	3369027.576752	2019-04-17 19:42:57	JF_PBR_xp2_d0_t1_01.#m4	b
2	0	1	100507.9826	2019-04-17 19:42:57	JF_PBR_xp2_d0_t1_01.#m4	c
2	0	1	1499579.100392	2019-04-17 19:43:27	JF_PBR_xp2_d0_t1_02.#m4	b
2	0	1	100507.9826	2019-04-17 19:43:27	JF_PBR_xp2_d0_t1_02.#m4	c
2	0	1	2420232.221008	2019-04-17 19:43:56	JF_PBR_xp2_d0_t1_03.#m4	b
2	0	1	124629.898424	2019-04-17 19:43:56	JF_PBR_xp2_d0_t1_03.#m4	c
2	0	2	1666422.3515080002	2019-04-17 19:48:28	JF_PBR_xp2_d0_t2_01.#m4	b
2	0	2	112568.94051199999	2019-04-17 19:48:28	JF_PBR_xp2_d0_t2_01.#m4	c
2	0	2	2353896.952492	2019-04-17 19:48:56	JF_PBR_xp2_d0_t2_02.#m4	b
2	0	2	199005.805548	2019-04-17 19:48:56	JF_PBR_xp2_d0_t2_02.#m4	c
2	0	2	2693613.93368	2019-04-17 19:49:25	JF_PBR_xp2_d0_t2_03.#m4	b
2	0	2	178904.20902799998	2019-04-17 19:49:25	JF_PBR_xp2_d0_t2_03.#m4	c
2	0	3	2691603.774028	2019-04-17 19:56:48	JF_PBR_xp2_d0_t3_01.#m4	b
2	0	3	174883.88972399998	2019-04-17 19:56:48	JF_PBR_xp2_d0_t3_01.#m4	c
2	0	4	3397169.81188	2019-04-17 19:59:56	JF_PBR_xp2_d0_t4_01.#m4	b
2	0	4	273381.712672	2019-04-17 19:59:56	JF_PBR_xp2_d0_t4_01.#m4	c
2	0	4	4004238.026784	2019-04-17 20:03:18	JF_PBR_xp2_d0_t4_02.#m4	b
2	0	4	361828.73735999997	2019-04-17 20:03:18	JF_PBR_xp2_d0_t4_02.#m4	c
2	0	4	4173091.437552	2019-04-17 20:03:46	JF_PBR_xp2_d0_t4_03.#m4	b
2	0	4	297503.628496	2019-04-17 20:03:46	JF_PBR_xp2_d0_t4_03.#m4	c
2	0	4	3976095.791656	2019-04-17 20:04:16	JF_PBR_xp2_d0_t4_04.#m4	b
2	0	4	309564.586408	2019-04-17 20:04:16	JF_PBR_xp2_d0_t4_04.#m4	c
2	0	5	2428272.859616	2019-04-17 20:06:42	JF_PBR_xp2_d0_t5_01.#m4	b
2	0	5	257300.435456	2019-04-17 20:06:42	JF_PBR_xp2_d0_t5_01.#m4	c
2	0	5	3360986.938144	2019-04-17 20:07:10	JF_PBR_xp2_d0_t5_02.#m4	b
2	0	5	281422.35128	2019-04-17 20:07:10	JF_PBR_xp2_d0_t5_02.#m4	c
2	0	5	5141988.389816	2019-04-17 20:07:39	JF_PBR_xp2_d0_t5_03.#m4	b
2	0	5	454296.08135199995	2019-04-17 20:07:39	JF_PBR_xp2_d0_t5_03.#m4	c
2	0	6	329666.18292799994	2019-04-17 20:11:00	JF_PBR_xp2_d0_t6_01.#m4	b
2	0	6	309564.586408	2019-04-17 20:11:00	JF_PBR_xp2_d0_t6_01.#m4	c
2	0	6	349767.77944799996	2019-04-17 20:11:28	JF_PBR_xp2_d0_t6_02.#m4	b
2	0	6	269361.393368	2019-04-17 20:11:28	JF_PBR_xp2_d0_t6_02.#m4	c
2	0	7	976937.590872	2019-04-17 20:15:52	JF_PBR_xp2_d0_t7_01.#m4	b
2	0	7	418113.20761599997	2019-04-17 20:15:52	JF_PBR_xp2_d0_t7_01.#m4	c
2	0	7	808084.1801039999	2019-04-17 20:16:21	JF_PBR_xp2_d0_t7_02.#m4	b
2	0	7	430174.165528	2019-04-17 20:16:21	JF_PBR_xp2_d0_t7_02.#m4	c
2	0	7	1009100.145304	2019-04-17 20:16:51	JF_PBR_xp2_d0_t7_03.#m4	b
2	0	7	373889.695272	2019-04-17 20:16:51	JF_PBR_xp2_d0_t7_03.#m4	c
2	0	8	333686.50223199994	2019-04-17 20:18:50	JF_PBR_xp2_d0_t8_01.#m4	b
2	0	8	160812.77216	2019-04-17 20:18:50	JF_PBR_xp2_d0_t8_01.#m4	c
2	0	8	478417.99717600003	2019-04-17 20:19:20	JF_PBR_xp2_d0_t8_02.#m4	b
2	0	8	305544.267104	2019-04-17 20:19:20	JF_PBR_xp2_d0_t8_02.#m4	c
2	0	8	514600.870912	2019-04-17 20:19:49	JF_PBR_xp2_d0_t8_03.#m4	b
2	0	8	329666.18292799994	2019-04-17 20:19:49	JF_PBR_xp2_d0_t8_03.#m4	c
2	10	1	9930188.68088	2019-04-27 16:44:26	JF_PBR_xp2_d10_t1_01.#m4	b
2	10	1	90457.18434	2019-04-27 16:44:26	JF_PBR_xp2_d10_t1_01.#m4	c
