,kB680,kC680,kB720,kC720,kB680m,kB720m,kC680m,kC720m
575,0.9347475888935504,1.8489245613553829,0.8825850396599536,0.8328555809154223,-0.9612646127467142,2.108194121624917,0.9272805894470914,-0.83692011586077
580,0.9382084679950364,1.832729762471757,0.8858396004641863,0.8255547532547912,-0.957753468671738,2.100451322597868,0.9353145204912707,-0.8440762159070995
585,0.9416967472336438,1.8174186178533829,0.8891376148474057,0.8186735136558306,-0.9541940369267308,2.0926401602830054,0.9429998789694849,-0.8508311922153242
590,0.9462939074410154,1.8030348106388976,0.8934750762915403,0.8122159237828168,-0.9495297803836902,2.082387706127921,0.9504792484310544,-0.857531621439228
595,0.950523293842116,1.7942933316172691,0.8974670365871358,0.8082897757186427,-0.945389475386775,2.073256545201815,0.9550412409352219,-0.861554424913644
600,0.9548132368822112,1.787677938662759,0.901518607648562,0.8053209161305412,-0.9410909354935749,2.0638292457776126,0.9584977746018638,-0.8645487274710513
605,0.9591488671866606,1.7800761184447331,0.9056077130601504,0.8019037232007692,-0.9368530963058159,2.054531077352608,0.962357114960096,-0.8678499367688306
610,0.9628210787587309,1.7718314612650066,0.9090792800848356,0.7982008069895505,-0.9332812106753363,2.046723943660851,0.9666115652183379,-0.8715785610270065
615,0.966758820236558,1.7572198778941093,0.9127909992665212,0.7916218877781128,-0.9295129149093021,2.0384255767966275,0.9746004052841326,-0.87864309108252
620,0.9700952517442194,1.7401219388295808,0.9159420204688764,0.7839211126002994,-0.9263715596006314,2.031489529896493,0.9838894822430146,-0.8868268191476494
625,0.9745008448619727,1.7332220627339654,0.9201119019380724,0.7807996551017958,-0.9221998385519522,2.0223490562626716,0.9875735311157813,-0.8898041691692883
630,0.9790619301983629,1.7408916515293875,0.9244205202854214,0.7842634117523504,-0.9179656642558038,2.013007516103881,0.9829662207544023,-0.8854804434189554
635,0.9830891452191518,1.7455487093685609,0.9282246233703502,0.7863468384709106,-0.9142416849677016,2.0048408067189705,0.9800339261412527,-0.882486393881398
